"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-40-144.eu-central-1.compute.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:55 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187075.613,0.0,0.0,7.0,4.0,9.0,3.0,0.0,4.958,1.853,92.790,0.344,0.0,0.054,140152832.0,1085440.0,762494976.0,127774720.0
1608187076.614,21982.0,8867.0,7.0,10.0,0.0,4.0,0.0,2.0,0.0,98.0,0.0,0.0,0.0,140398592.0,1085440.0,762474496.0,127549440.0
1608187077.614,7827.0,396.0,7.0,10.0,0.0,4.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,140529664.0,1085440.0,762494976.0,127397888.0
1608187078.614,7852.0,17707.0,7.0,9.0,0.0,4.0,0.0,0.980,0.980,98.039,0.0,0.0,0.0,140529664.0,1085440.0,762494976.0,127397888.0
1608187079.614,1599.0,5289.0,7.0,11.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140525568.0,1085440.0,762499072.0,127397888.0
1608187080.614,392.0,4117.0,7.0,11.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140525568.0,1085440.0,762499072.0,127397888.0
1608187081.614,472.0,615.0,7.0,12.0,1.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140525568.0,1085440.0,762499072.0,127397888.0
1608187082.614,12351.0,53968.0,7.0,13.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140521472.0,1085440.0,762503168.0,127397888.0
1608187083.614,2444.0,9985.0,7.0,14.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140513280.0,1085440.0,762511360.0,127397888.0
1608187084.614,6559.0,26410.0,7.0,14.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140640256.0,1085440.0,762511360.0,127270912.0
1608187085.614,6983.0,37501.0,7.0,20.0,1.0,5.0,0.0,1.980,0.0,98.020,0.0,0.0,0.0,140627968.0,1085440.0,762523648.0,127270912.0
1608187086.614,17143.0,6378.0,7.0,21.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140623872.0,1085440.0,762527744.0,127270912.0
1608187087.614,910.0,4795.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140623872.0,1085440.0,762527744.0,127270912.0
1608187088.614,152.0,180.0,7.0,22.0,0.0,5.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,140623872.0,1085440.0,762527744.0,127270912.0
1608187089.614,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140623872.0,1085440.0,762527744.0,127270912.0
1608187090.614,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140623872.0,1085440.0,762527744.0,127270912.0
1608187091.614,369.0,247.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140623872.0,1085440.0,762527744.0,127270912.0
1608187092.614,50619.0,5806.0,7.0,22.0,0.0,5.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,140877824.0,1085440.0,762527744.0,127016960.0
1608187093.614,1137.0,10739.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140873728.0,1085440.0,762531840.0,127016960.0
1608187094.614,76.0,90.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140873728.0,1085440.0,762531840.0,127016960.0
1608187095.614,885.0,809.0,7.0,21.0,0.0,5.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,140869632.0,1085440.0,762535936.0,127016960.0
1608187096.614,6748.0,4816.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140869632.0,1085440.0,762535936.0,127016960.0
1608187097.614,8034.0,30920.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140869632.0,1085440.0,762535936.0,127016960.0
1608187098.614,3266.0,32101.0,7.0,22.0,0.0,5.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,140861440.0,1085440.0,762544128.0,127016960.0
1608187099.614,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140861440.0,1085440.0,762544128.0,127016960.0
1608187100.614,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140861440.0,1085440.0,762544128.0,127016960.0
1608187101.614,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140861440.0,1085440.0,762544128.0,127016960.0
1608187102.614,42.0,42.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140861440.0,1085440.0,762544128.0,127016960.0
1608187103.614,284.0,272.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140861440.0,1085440.0,762544128.0,127016960.0
1608187104.614,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140861440.0,1085440.0,762544128.0,127016960.0
1608187105.614,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140857344.0,1085440.0,762548224.0,127016960.0
1608187106.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140857344.0,1085440.0,762548224.0,127016960.0
1608187107.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187108.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187109.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187110.614,76.0,90.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187111.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187112.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187113.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187114.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187115.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187116.614,6893.0,3474.0,7.0,22.0,0.0,4.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187117.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187118.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187119.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187120.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187121.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187122.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
1608187123.614,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140922880.0,1085440.0,762548224.0,126951424.0
