"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-3-202.us-east-2.compute.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:51 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187071.127,0.0,0.0,5.0,3.0,0.0,2.0,0.0,4.407,1.657,93.328,0.552,0.0,0.056,138944512.0,1085440.0,732897280.0,158580736.0
1608187072.129,10028.0,6797.0,7.0,6.0,0.0,3.0,0.0,0.0,0.0,98.980,1.020,0.0,0.0,139792384.0,1085440.0,732909568.0,157720576.0
1608187073.129,1024.0,3318.0,7.0,7.0,0.0,3.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,139939840.0,1085440.0,732921856.0,157560832.0
1608187074.129,1083.0,3343.0,7.0,8.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139939840.0,1085440.0,732921856.0,157560832.0
1608187075.129,1177.0,3385.0,7.0,9.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139939840.0,1085440.0,732921856.0,157560832.0
1608187076.129,866.0,3464.0,7.0,10.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139939840.0,1085440.0,732921856.0,157560832.0
1608187077.129,710.0,3373.0,7.0,11.0,0.0,3.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,139935744.0,1085440.0,732925952.0,157560832.0
1608187078.129,18685.0,23479.0,7.0,10.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139935744.0,1085440.0,732925952.0,157560832.0
1608187079.129,489.0,91.0,7.0,10.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139931648.0,1085440.0,732930048.0,157560832.0
1608187080.129,0.0,0.0,7.0,10.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139931648.0,1085440.0,732930048.0,157560832.0
1608187081.129,1588.0,6744.0,7.0,12.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139931648.0,1085440.0,732930048.0,157560832.0
1608187082.129,26729.0,12423.0,7.0,19.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140242944.0,1085440.0,732938240.0,157241344.0
1608187083.129,10843.0,49697.0,7.0,19.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140201984.0,1085440.0,732946432.0,157274112.0
1608187084.129,0.0,0.0,7.0,19.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140201984.0,1085440.0,732946432.0,157274112.0
1608187085.129,30482.0,26485.0,7.0,19.0,0.0,4.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,140320768.0,1085440.0,732954624.0,157147136.0
