"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-30-144.ap-southeast-2.compute.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:42 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187062.913,0.0,0.0,6.0,3.0,0.0,6.0,0.0,4.752,1.540,93.067,0.590,0.0,0.051,141811712.0,1085440.0,763432960.0,125177856.0
1608187063.914,5462.0,7388.0,7.0,8.0,0.0,6.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,142446592.0,1085440.0,763437056.0,124538880.0
1608187064.914,760.0,1494.0,7.0,9.0,0.0,6.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,142721024.0,1085440.0,763449344.0,124252160.0
1608187065.914,104.0,91.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142721024.0,1085440.0,763449344.0,124252160.0
1608187066.914,12047.0,12108.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142721024.0,1085440.0,763449344.0,124252160.0
1608187067.914,52.0,0.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142721024.0,1085440.0,763449344.0,124252160.0
1608187068.914,120.0,148.0,7.0,9.0,2.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142721024.0,1085440.0,763449344.0,124252160.0
1608187069.914,2779.0,5667.0,7.0,13.0,0.0,7.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,142716928.0,1085440.0,763453440.0,124252160.0
1608187070.914,1578.0,4782.0,7.0,14.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142712832.0,1085440.0,763457536.0,124252160.0
1608187071.914,448.0,491.0,7.0,15.0,1.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142712832.0,1085440.0,763457536.0,124252160.0
1608187072.914,1160.0,3151.0,7.0,16.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142708736.0,1085440.0,763461632.0,124252160.0
1608187073.914,9268.0,6484.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142831616.0,1085440.0,763465728.0,124125184.0
1608187074.914,6936.0,438.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142827520.0,1085440.0,763469824.0,124125184.0
1608187075.914,60.0,74.0,7.0,22.0,1.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142827520.0,1085440.0,763469824.0,124125184.0
1608187076.914,224.0,288.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142893056.0,1085440.0,763469824.0,124059648.0
1608187077.914,582.0,1110.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142893056.0,1085440.0,763469824.0,124059648.0
1608187078.914,44809.0,5244.0,7.0,22.0,0.0,7.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,142888960.0,1085440.0,763473920.0,124059648.0
1608187079.914,76.0,90.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142888960.0,1085440.0,763473920.0,124059648.0
1608187080.914,0.0,0.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142888960.0,1085440.0,763473920.0,124059648.0
1608187081.914,0.0,0.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142888960.0,1085440.0,763473920.0,124059648.0
1608187082.914,28526.0,12067.0,7.0,21.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143003648.0,1085440.0,763486208.0,123932672.0
1608187083.914,7376.0,5430.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143003648.0,1085440.0,763486208.0,123932672.0
1608187084.914,35058.0,4876.0,7.0,22.0,0.0,7.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,143122432.0,1085440.0,763494400.0,123805696.0
1608187085.914,23117.0,1638.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143122432.0,1085440.0,763494400.0,123805696.0
1608187086.914,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143122432.0,1085440.0,763494400.0,123805696.0
1608187087.914,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143122432.0,1085440.0,763494400.0,123805696.0
1608187088.914,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143122432.0,1085440.0,763494400.0,123805696.0
1608187089.914,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143122432.0,1085440.0,763494400.0,123805696.0
1608187090.914,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143122432.0,1085440.0,763494400.0,123805696.0
1608187091.914,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,143122432.0,1085440.0,763494400.0,123805696.0
