"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-47-76.ec2.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:39 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187059.185,0.0,0.0,5.0,3.0,0.0,2.0,0.0,4.497,1.553,92.979,0.938,0.0,0.033,139898880.0,1085440.0,739266560.0,151257088.0
1608187060.186,3055.0,5172.0,7.0,5.0,0.0,2.0,0.0,4.040,0.0,93.939,2.020,0.0,0.0,141189120.0,1085440.0,739700736.0,149532672.0
1608187061.186,0.0,0.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141209600.0,1085440.0,739713024.0,149499904.0
1608187062.186,0.0,0.0,7.0,5.0,0.0,2.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,141209600.0,1085440.0,739713024.0,149499904.0
1608187063.186,0.0,0.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141209600.0,1085440.0,739713024.0,149499904.0
1608187064.186,658.0,852.0,7.0,6.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141209600.0,1085440.0,739713024.0,149499904.0
1608187065.186,104.0,91.0,7.0,6.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141209600.0,1085440.0,739713024.0,149499904.0
1608187066.186,173.0,215.0,7.0,5.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141209600.0,1085440.0,739713024.0,149499904.0
1608187067.186,7601.0,3991.0,7.0,8.0,0.0,3.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,141336576.0,1085440.0,739713024.0,149372928.0
1608187068.186,634.0,1387.0,7.0,7.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141332480.0,1085440.0,739717120.0,149372928.0
1608187069.186,1684.0,2621.0,7.0,8.0,1.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141328384.0,1085440.0,739721216.0,149372928.0
1608187070.186,14984.0,11135.0,7.0,17.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141508608.0,1085440.0,739733504.0,149180416.0
1608187071.186,943.0,4555.0,7.0,18.0,0.0,3.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,141508608.0,1085440.0,739733504.0,149180416.0
1608187072.186,974.0,3521.0,7.0,20.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141508608.0,1085440.0,739733504.0,149180416.0
1608187073.186,794.0,3141.0,7.0,20.0,0.0,3.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,141504512.0,1085440.0,739737600.0,149180416.0
1608187074.186,0.0,0.0,7.0,20.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141504512.0,1085440.0,739737600.0,149180416.0
1608187075.186,0.0,0.0,7.0,20.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141504512.0,1085440.0,739737600.0,149180416.0
1608187076.186,76.0,90.0,7.0,20.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141504512.0,1085440.0,739737600.0,149180416.0
1608187077.186,0.0,0.0,7.0,20.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141504512.0,1085440.0,739737600.0,149180416.0
1608187078.186,8401.0,5130.0,7.0,20.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141500416.0,1085440.0,739741696.0,149180416.0
1608187079.186,559.0,377.0,7.0,19.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141500416.0,1085440.0,739741696.0,149180416.0
1608187080.186,10347.0,6135.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141492224.0,1085440.0,739741696.0,149188608.0
1608187081.186,77.0,66.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141488128.0,1085440.0,739745792.0,149188608.0
1608187082.186,18588.0,6132.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141611008.0,1085440.0,739749888.0,149061632.0
1608187083.186,9811.0,18980.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141606912.0,1085440.0,739753984.0,149061632.0
1608187084.186,0.0,0.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141606912.0,1085440.0,739753984.0,149061632.0
1608187085.186,12997.0,67473.0,7.0,21.0,0.0,3.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,141598720.0,1085440.0,739762176.0,149061632.0
1608187086.186,104.0,0.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141598720.0,1085440.0,739762176.0,149061632.0
1608187087.186,0.0,0.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141598720.0,1085440.0,739762176.0,149061632.0
1608187088.186,0.0,0.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141598720.0,1085440.0,739762176.0,149061632.0
1608187089.186,0.0,0.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141598720.0,1085440.0,739762176.0,149061632.0
1608187090.186,216.0,326.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141594624.0,1085440.0,739766272.0,149061632.0
1608187091.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141594624.0,1085440.0,739766272.0,149061632.0
1608187092.186,118.0,132.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141594624.0,1085440.0,739766272.0,149061632.0
1608187093.186,16612.0,82008.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141586432.0,1085440.0,739774464.0,149061632.0
1608187094.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141619200.0,1085440.0,739774464.0,149028864.0
1608187095.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141619200.0,1085440.0,739774464.0,149028864.0
1608187096.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141619200.0,1085440.0,739774464.0,149028864.0
1608187097.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141619200.0,1085440.0,739774464.0,149028864.0
1608187098.186,30587.0,66479.0,7.0,21.0,0.0,2.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,141615104.0,1085440.0,739778560.0,149028864.0
1608187099.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141615104.0,1085440.0,739778560.0,149028864.0
1608187100.186,7508.0,5658.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
1608187101.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
1608187102.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
1608187103.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
1608187104.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
1608187105.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
1608187106.186,0.0,0.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
1608187107.186,0.0,114.0,7.0,21.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
1608187108.186,76.0,90.0,7.0,21.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
1608187109.186,0.0,0.0,7.0,21.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141742080.0,1085440.0,739778560.0,148901888.0
