"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-32-206.ap-south-1.compute.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:40 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187060.994,0.0,0.0,6.0,3.0,0.0,6.0,0.0,4.774,1.854,92.880,0.439,0.0,0.052,140091392.0,1085440.0,762572800.0,127758336.0
1608187061.996,2794.0,4719.0,7.0,5.0,0.0,6.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,140644352.0,1085440.0,762593280.0,127184896.0
1608187062.996,924.0,1179.0,7.0,6.0,1.0,6.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,140644352.0,1085440.0,762601472.0,127176704.0
1608187063.996,702.0,929.0,7.0,7.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140644352.0,1085440.0,762601472.0,127176704.0
1608187064.996,0.0,0.0,7.0,7.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140644352.0,1085440.0,762601472.0,127176704.0
1608187065.996,1368.0,2035.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140673024.0,1085440.0,762605568.0,127143936.0
1608187066.996,22432.0,7244.0,7.0,9.0,0.0,6.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,140832768.0,1085440.0,762605568.0,126984192.0
1608187067.996,209.0,305.0,7.0,8.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140832768.0,1085440.0,762605568.0,126984192.0
1608187068.996,60.0,74.0,7.0,8.0,1.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140832768.0,1085440.0,762605568.0,126984192.0
1608187069.996,2112.0,3359.0,7.0,12.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140861440.0,1085440.0,762609664.0,126951424.0
1608187070.996,2540.0,5875.0,7.0,14.0,8.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140857344.0,1085440.0,762613760.0,126951424.0
1608187071.996,15020.0,7472.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140849152.0,1085440.0,762621952.0,126951424.0
1608187072.996,5168.0,1072.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140845056.0,1085440.0,762626048.0,126951424.0
1608187073.996,42.0,42.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140845056.0,1085440.0,762626048.0,126951424.0
1608187074.996,284.0,272.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140877824.0,1085440.0,762626048.0,126918656.0
1608187075.996,284.0,272.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140877824.0,1085440.0,762626048.0,126918656.0
1608187076.996,305.0,247.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140877824.0,1085440.0,762626048.0,126918656.0
1608187077.996,1214.0,2970.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140877824.0,1085440.0,762626048.0,126918656.0
1608187078.996,33837.0,3380.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141127680.0,1085440.0,762630144.0,126664704.0
1608187079.996,0.0,0.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141127680.0,1085440.0,762630144.0,126664704.0
1608187080.996,855.0,571.0,7.0,21.0,0.0,7.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,141127680.0,1085440.0,762630144.0,126664704.0
1608187081.996,7018.0,5246.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141127680.0,1085440.0,762630144.0,126664704.0
1608187082.996,69766.0,12514.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141115392.0,1085440.0,762642432.0,126664704.0
1608187083.996,413.0,222.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141115392.0,1085440.0,762642432.0,126664704.0
1608187084.996,46188.0,5757.0,7.0,22.0,0.0,7.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,141369344.0,1085440.0,762642432.0,126410752.0
1608187085.996,1800.0,1400.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141361152.0,1085440.0,762650624.0,126410752.0
1608187086.996,0.0,0.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141361152.0,1085440.0,762650624.0,126410752.0
1608187087.996,0.0,0.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141361152.0,1085440.0,762650624.0,126410752.0
1608187088.996,0.0,0.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141361152.0,1085440.0,762650624.0,126410752.0
1608187089.996,0.0,0.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141361152.0,1085440.0,762650624.0,126410752.0
1608187090.996,0.0,0.0,7.0,22.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141357056.0,1085440.0,762654720.0,126410752.0
1608187091.996,42.0,42.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141357056.0,1085440.0,762654720.0,126410752.0
1608187092.996,77056.0,7141.0,7.0,22.0,0.0,6.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,141348864.0,1085440.0,762662912.0,126410752.0
1608187093.996,52.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141348864.0,1085440.0,762662912.0,126410752.0
1608187094.996,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141348864.0,1085440.0,762662912.0,126410752.0
1608187095.996,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141348864.0,1085440.0,762662912.0,126410752.0
1608187096.996,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141348864.0,1085440.0,762662912.0,126410752.0
1608187097.996,65756.0,5917.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187098.996,780.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187099.996,360.0,362.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187100.995,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187101.996,7293.0,5351.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187102.996,0.0,0.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187103.996,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187104.996,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187105.996,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187106.996,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187107.996,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187108.996,0.0,0.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187109.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187110.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187111.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187112.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187113.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187114.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187115.996,76.0,90.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187116.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187117.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187118.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187119.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187120.996,0.0,0.0,7.0,22.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187121.996,7293.0,5405.0,7.0,22.0,0.0,1.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187122.996,0.0,0.0,7.0,22.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187123.996,0.0,0.0,7.0,22.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187124.996,0.0,0.0,7.0,22.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141344768.0,1085440.0,762667008.0,126410752.0
1608187125.996,0.0,0.0,7.0,22.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187126.996,0.0,0.0,7.0,22.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187127.996,0.0,0.0,7.0,22.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187128.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187129.996,42.0,42.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187130.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187131.996,76.0,204.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187132.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187133.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187134.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187135.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187136.995,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187137.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187138.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187139.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187140.996,76.0,90.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187141.996,7745.0,6123.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141340672.0,1085440.0,762671104.0,126410752.0
1608187142.996,55756.0,4873.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187143.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187144.996,326.0,314.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187145.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187146.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187147.996,76.0,90.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187148.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187149.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187150.995,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187151.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187152.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187153.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187154.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187155.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187156.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187157.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187158.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187159.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141336576.0,1085440.0,762675200.0,126410752.0
1608187160.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141332480.0,1085440.0,762679296.0,126410752.0
1608187161.996,7293.0,5351.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141332480.0,1085440.0,762679296.0,126410752.0
1608187162.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141332480.0,1085440.0,762679296.0,126410752.0
1608187163.996,284.0,272.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141332480.0,1085440.0,762679296.0,126410752.0
1608187164.996,360.0,284.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141332480.0,1085440.0,762679296.0,126410752.0
1608187165.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141332480.0,1085440.0,762679296.0,126410752.0
1608187166.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141299712.0,1085440.0,762679296.0,126443520.0
1608187167.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141299712.0,1085440.0,762679296.0,126443520.0
1608187168.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141299712.0,1085440.0,762679296.0,126443520.0
1608187169.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141299712.0,1085440.0,762679296.0,126443520.0
1608187170.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141299712.0,1085440.0,762679296.0,126443520.0
1608187171.996,40.0,123.0,7.0,22.0,0.0,0.0,0.0,0.0,2.020,97.980,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187172.996,336.0,326.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187173.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187174.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187175.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187176.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187177.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187178.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187179.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187180.996,76.0,90.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141815808.0,1085440.0,762695680.0,125911040.0
1608187181.996,7293.0,5351.0,7.0,22.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,141791232.0,1085440.0,762695680.0,125935616.0
1608187182.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141791232.0,1085440.0,762695680.0,125935616.0
1608187183.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141791232.0,1085440.0,762695680.0,125935616.0
1608187184.996,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141791232.0,1085440.0,762695680.0,125935616.0
