"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-20-254.ca-central-1.compute.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:45 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187065.101,0.0,0.0,5.0,3.0,0.0,8.0,0.0,4.662,1.557,93.395,0.342,0.0,0.045,139313152.0,1085440.0,717959168.0,173150208.0
1608187066.103,6264.0,7390.0,7.0,8.0,0.0,8.0,0.0,2.0,1.0,97.0,0.0,0.0,0.0,140283904.0,1085440.0,717975552.0,172163072.0
1608187067.103,11920.0,11956.0,7.0,8.0,0.0,8.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,140652544.0,1085440.0,717987840.0,171782144.0
1608187068.103,0.0,0.0,7.0,8.0,0.0,8.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140652544.0,1085440.0,717987840.0,171782144.0
1608187069.103,742.0,2055.0,7.0,9.0,0.0,8.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140652544.0,1085440.0,717987840.0,171782144.0
1608187070.103,52.0,0.0,7.0,9.0,0.0,8.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140652544.0,1085440.0,717987840.0,171782144.0
1608187071.103,102.0,116.0,7.0,9.0,1.0,8.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140652544.0,1085440.0,717987840.0,171782144.0
1608187072.103,867.0,2196.0,7.0,9.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140648448.0,1085440.0,717991936.0,171782144.0
1608187073.103,919.0,2212.0,7.0,10.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140648448.0,1085440.0,717991936.0,171782144.0
1608187074.103,794.0,2055.0,7.0,11.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140648448.0,1085440.0,717991936.0,171782144.0
1608187075.103,52.0,0.0,7.0,11.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140648448.0,1085440.0,717991936.0,171782144.0
1608187076.103,13471.0,13941.0,7.0,19.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140701696.0,1085440.0,718004224.0,171716608.0
1608187077.103,76.0,90.0,7.0,19.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140701696.0,1085440.0,718004224.0,171716608.0
1608187078.103,152.0,180.0,7.0,19.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140701696.0,1085440.0,718004224.0,171716608.0
1608187079.103,1026.0,3461.0,7.0,21.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140701696.0,1085440.0,718004224.0,171716608.0
1608187080.103,426.0,3150.0,7.0,21.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140701696.0,1085440.0,718004224.0,171716608.0
1608187081.103,0.0,0.0,7.0,21.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140701696.0,1085440.0,718004224.0,171716608.0
1608187082.103,76.0,90.0,7.0,21.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140701696.0,1085440.0,718004224.0,171716608.0
1608187083.103,27852.0,34056.0,7.0,20.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140816384.0,1085440.0,718016512.0,171589632.0
1608187084.103,0.0,0.0,7.0,20.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140816384.0,1085440.0,718016512.0,171589632.0
1608187085.103,32038.0,52426.0,7.0,20.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140939264.0,1085440.0,718020608.0,171462656.0
1608187086.103,12476.0,10733.0,7.0,21.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140935168.0,1085440.0,718024704.0,171462656.0
1608187087.103,0.0,0.0,7.0,21.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140935168.0,1085440.0,718024704.0,171462656.0
1608187088.103,0.0,0.0,7.0,21.0,0.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140935168.0,1085440.0,718024704.0,171462656.0
1608187089.103,0.0,0.0,7.0,21.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140935168.0,1085440.0,718024704.0,171462656.0
1608187090.103,0.0,0.0,7.0,21.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140935168.0,1085440.0,718024704.0,171462656.0
1608187091.103,0.0,0.0,7.0,21.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140935168.0,1085440.0,718024704.0,171462656.0
1608187092.103,0.0,0.0,7.0,21.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140935168.0,1085440.0,718024704.0,171462656.0
1608187093.103,17313.0,66405.0,7.0,21.0,0.0,5.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,140918784.0,1085440.0,718032896.0,171470848.0
1608187094.103,0.0,114.0,7.0,21.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140918784.0,1085440.0,718032896.0,171470848.0
1608187095.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140914688.0,1085440.0,718036992.0,171470848.0
1608187096.103,4783.0,1674.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140914688.0,1085440.0,718036992.0,171470848.0
1608187097.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140914688.0,1085440.0,718036992.0,171470848.0
1608187098.103,16516.0,81903.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140910592.0,1085440.0,718041088.0,171470848.0
1608187099.103,76.0,90.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140910592.0,1085440.0,718041088.0,171470848.0
1608187100.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140943360.0,1085440.0,718041088.0,171438080.0
1608187101.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140943360.0,1085440.0,718041088.0,171438080.0
1608187102.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140943360.0,1085440.0,718041088.0,171438080.0
1608187103.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140943360.0,1085440.0,718041088.0,171438080.0
1608187104.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140943360.0,1085440.0,718041088.0,171438080.0
1608187105.103,284.0,194.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,140943360.0,1085440.0,718041088.0,171438080.0
1608187106.103,7519.0,5661.0,7.0,21.0,0.0,4.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
1608187107.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
1608187108.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
1608187109.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
1608187110.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
1608187111.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
1608187112.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
1608187113.103,284.0,272.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
1608187114.103,0.0,0.0,7.0,21.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
1608187115.103,76.0,90.0,7.0,21.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141062144.0,1085440.0,718049280.0,171311104.0
