"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-40-156.ap-northeast-2.compute.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:41 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187061.657,0.0,0.0,5.0,3.0,0.0,3.0,0.0,4.498,1.572,92.800,1.088,0.0,0.043,140484608.0,1085440.0,762744832.0,127193088.0
1608187062.658,5784.0,8496.0,7.0,9.0,0.0,3.0,0.0,2.970,0.990,94.059,1.980,0.0,0.0,141864960.0,1085440.0,762978304.0,125579264.0
1608187063.659,153.0,156.0,7.0,9.0,0.0,3.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,141877248.0,1085440.0,762998784.0,125546496.0
1608187064.658,6693.0,3335.0,7.0,10.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142004224.0,1085440.0,762998784.0,125419520.0
1608187065.658,360.0,416.0,7.0,11.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142004224.0,1085440.0,762998784.0,125419520.0
1608187066.658,8078.0,28366.0,7.0,11.0,0.0,3.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,142159872.0,1085440.0,763002880.0,125259776.0
1608187067.658,104.0,66.0,7.0,11.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142159872.0,1085440.0,763002880.0,125259776.0
1608187068.658,209.0,305.0,7.0,10.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142159872.0,1085440.0,763002880.0,125259776.0
1608187069.658,824.0,1148.0,7.0,12.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142159872.0,1085440.0,763002880.0,125259776.0
1608187070.658,2669.0,5098.0,7.0,15.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142151680.0,1085440.0,763011072.0,125259776.0
1608187071.659,486.0,608.0,7.0,15.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142151680.0,1085440.0,763011072.0,125259776.0
1608187072.658,15155.0,9005.0,7.0,23.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142303232.0,1085440.0,763019264.0,125100032.0
1608187073.659,2491.0,413.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142303232.0,1085440.0,763019264.0,125100032.0
