"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-9-206.us-west-1.compute.internal",,,,"User:","root"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","17 Dec 2020 06:37:40 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608187060.074,0.0,0.0,5.0,3.0,0.0,4.0,0.0,4.780,1.530,93.263,0.365,0.0,0.062,141537280.0,1085440.0,734617600.0,154267648.0
1608187061.075,2353.0,4193.0,7.0,4.0,0.0,4.0,0.0,1.010,1.010,97.980,0.0,0.0,0.0,142344192.0,1085440.0,734638080.0,153440256.0
1608187062.075,1414.0,1917.0,7.0,7.0,1.0,4.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,142336000.0,1085440.0,734646272.0,153440256.0
1608187063.075,1590.0,2349.0,7.0,8.0,1.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142364672.0,1085440.0,734650368.0,153407488.0
1608187064.075,702.0,1019.0,7.0,9.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142364672.0,1085440.0,734650368.0,153407488.0
1608187065.075,1368.0,2185.0,7.0,11.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142553088.0,1085440.0,734654464.0,153214976.0
1608187066.075,146.0,133.0,7.0,11.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142553088.0,1085440.0,734654464.0,153214976.0
1608187067.075,8002.0,28575.0,7.0,11.0,0.0,5.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,142553088.0,1085440.0,734654464.0,153214976.0
1608187068.075,298.0,949.0,7.0,11.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142548992.0,1085440.0,734658560.0,153214976.0
1608187069.074,794.0,1215.0,7.0,12.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142548992.0,1085440.0,734658560.0,153214976.0
1608187070.075,229.0,157.0,7.0,12.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142548992.0,1085440.0,734658560.0,153214976.0
1608187071.075,13655.0,9374.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142663680.0,1085440.0,734670848.0,153088000.0
1608187072.075,664.0,132.0,7.0,22.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142663680.0,1085440.0,734670848.0,153088000.0
