"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-47-230.eu-central-1.compute.internal",,,,"User:","ec2-user"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","16 Dec 2020 07:58:46 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608105526.061,0.0,0.0,5.0,2.0,0.0,0.0,0.0,19.049,7.898,71.084,1.762,0.0,0.208,137158656.0,1085440.0,760111104.0,133152768.0
1608105527.062,8670.0,9232.0,7.0,12.0,1.0,0.0,0.0,1.0,0.0,98.0,0.0,0.0,1.0,138117120.0,1085440.0,760147968.0,132157440.0
1608105528.062,1460.0,2121.0,7.0,13.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138113024.0,1085440.0,760152064.0,132157440.0
1608105529.062,28484.0,13692.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138194944.0,1085440.0,760156160.0,132071424.0
1608105530.062,241.0,156.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138194944.0,1085440.0,760156160.0,132071424.0
1608105531.062,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138194944.0,1085440.0,760156160.0,132071424.0
1608105532.062,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138194944.0,1085440.0,760156160.0,132071424.0
1608105533.062,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138194944.0,1085440.0,760156160.0,132071424.0
1608105534.062,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138194944.0,1085440.0,760156160.0,132071424.0
1608105535.062,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138194944.0,1085440.0,760156160.0,132071424.0
1608105536.062,102.0,116.0,7.0,13.0,1.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138194944.0,1085440.0,760156160.0,132071424.0
1608105537.062,5883.0,6794.0,7.0,19.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,138182656.0,1085440.0,760160256.0,132079616.0
1608105538.062,104.0,91.0,7.0,19.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138178560.0,1085440.0,760164352.0,132079616.0
1608105539.062,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138113024.0,1085440.0,760164352.0,132145152.0
1608105540.062,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138080256.0,1085440.0,760164352.0,132177920.0
1608105541.062,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138080256.0,1085440.0,760164352.0,132177920.0
1608105542.062,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138080256.0,1085440.0,760164352.0,132177920.0
1608105543.062,0.0,0.0,7.0,19.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138080256.0,1085440.0,760164352.0,132177920.0
1608105544.062,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138080256.0,1085440.0,760164352.0,132177920.0
1608105545.062,0.0,1346.0,7.0,19.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,138080256.0,1085440.0,760164352.0,132177920.0
1608105546.062,76.0,90.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138080256.0,1085440.0,760164352.0,132177920.0
1608105547.062,2017.0,2255.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138072064.0,1085440.0,760164352.0,132186112.0
1608105548.062,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138072064.0,1085440.0,760164352.0,132186112.0
1608105549.062,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138072064.0,1085440.0,760164352.0,132186112.0
1608105550.062,45793.0,5828.0,7.0,21.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138293248.0,1085440.0,760172544.0,131956736.0
1608105551.062,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138293248.0,1085440.0,760172544.0,131956736.0
1608105552.062,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138293248.0,1085440.0,760172544.0,131956736.0
1608105553.062,0.0,70.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138293248.0,1085440.0,760172544.0,131956736.0
1608105554.062,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138293248.0,1085440.0,760172544.0,131956736.0
1608105555.062,194.0,222.0,7.0,21.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138293248.0,1085440.0,760172544.0,131956736.0
1608105556.062,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138293248.0,1085440.0,760172544.0,131956736.0
1608105557.062,76.0,90.0,7.0,21.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138289152.0,1085440.0,760176640.0,131956736.0
1608105558.062,46309.0,26958.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138285056.0,1085440.0,760180736.0,131956736.0
1608105559.062,687.0,884.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138285056.0,1085440.0,760180736.0,131956736.0
1608105560.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138285056.0,1085440.0,760180736.0,131956736.0
1608105561.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138285056.0,1085440.0,760180736.0,131956736.0
1608105562.062,76.0,90.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138285056.0,1085440.0,760180736.0,131956736.0
1608105563.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138285056.0,1085440.0,760180736.0,131956736.0
1608105564.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138285056.0,1085440.0,760180736.0,131956736.0
1608105565.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138285056.0,1085440.0,760180736.0,131956736.0
1608105566.062,60.0,74.0,7.0,22.0,1.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138285056.0,1085440.0,760180736.0,131956736.0
1608105567.062,7497.0,97091.0,7.0,22.0,0.0,0.0,0.0,48.0,1.0,51.0,0.0,0.0,0.0,138530816.0,1085440.0,760188928.0,131702784.0
1608105568.062,19746.0,3745.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138522624.0,1085440.0,760197120.0,131702784.0
1608105569.062,52.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,138522624.0,1085440.0,760197120.0,131702784.0
1608105570.062,46355.0,5706.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105571.062,1001.0,314.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105572.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105573.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105574.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105575.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105576.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105577.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105578.062,76.0,90.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105579.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105580.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105581.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105582.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105583.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105584.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138518528.0,1085440.0,760201216.0,131702784.0
1608105585.062,77366.0,7971.0,7.0,22.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138514432.0,1085440.0,760205312.0,131702784.0
1608105586.062,52.0,66.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138514432.0,1085440.0,760205312.0,131702784.0
1608105587.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138514432.0,1085440.0,760205312.0,131702784.0
1608105588.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138514432.0,1085440.0,760205312.0,131702784.0
1608105589.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,138514432.0,1085440.0,760205312.0,131702784.0
1608105590.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138514432.0,1085440.0,760205312.0,131702784.0
1608105591.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138510336.0,1085440.0,760209408.0,131702784.0
1608105592.062,42.0,156.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138510336.0,1085440.0,760209408.0,131702784.0
1608105593.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138510336.0,1085440.0,760209408.0,131702784.0
1608105594.062,867.0,2391.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138510336.0,1085440.0,760209408.0,131702784.0
1608105595.062,50972.0,22369.0,7.0,22.0,0.0,0.0,0.0,0.980,0.980,98.039,0.0,0.0,0.0,138502144.0,1085440.0,760217600.0,131702784.0
1608105596.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138502144.0,1085440.0,760217600.0,131702784.0
1608105597.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138629120.0,1085440.0,760217600.0,131575808.0
1608105598.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138629120.0,1085440.0,760217600.0,131575808.0
1608105599.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138629120.0,1085440.0,760217600.0,131575808.0
1608105600.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,138629120.0,1085440.0,760217600.0,131575808.0
1608105601.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,138629120.0,1085440.0,760217600.0,131575808.0
1608105602.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,2.222,1.111,94.444,2.222,0.0,0.0,139042816.0,1085440.0,760365056.0,131014656.0
1608105603.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105604.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105605.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105606.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105607.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105608.062,42.0,42.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105609.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105610.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105611.062,76.0,90.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105612.062,0.0,0.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,139038720.0,1085440.0,760348672.0,131035136.0
1608105613.062,0.0,66.0,7.0,21.0,0.0,0.0,1.0,1.0,0.0,99.0,0.0,0.0,0.0,136982528.0,1085440.0,760348672.0,133091328.0
1608105614.062,0.0,0.0,7.0,21.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,136982528.0,1085440.0,760348672.0,133091328.0
1608105615.062,0.0,0.0,7.0,21.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,136982528.0,1085440.0,760348672.0,133091328.0
