"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-1-226.sa-east-1.compute.internal",,,,"User:","ec2-user"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","16 Dec 2020 08:29:04 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608107344.583,0.0,0.0,5.0,3.0,0.0,0.0,0.0,2.002,0.776,97.101,0.101,0.0,0.020,141156352.0,1085440.0,765575168.0,123691008.0
1608107345.584,6547.0,6287.0,7.0,11.0,0.0,0.0,0.0,1.980,0.0,97.030,0.990,0.0,0.0,142032896.0,1085440.0,765591552.0,122798080.0
1608107346.584,1928.0,1108.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142032896.0,1085440.0,765591552.0,122798080.0
1608107347.584,958.0,1233.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142192640.0,1085440.0,765591552.0,122638336.0
1608107348.584,1066.0,1946.0,7.0,14.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,142188544.0,1085440.0,765595648.0,122638336.0
1608107349.584,298.0,728.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142188544.0,1085440.0,765595648.0,122638336.0
1608107350.584,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142188544.0,1085440.0,765595648.0,122638336.0
1608107351.584,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142188544.0,1085440.0,765595648.0,122638336.0
1608107352.584,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142188544.0,1085440.0,765595648.0,122638336.0
1608107353.584,54061.0,3655.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142315520.0,1085440.0,765595648.0,122511360.0
1608107354.584,1093.0,1073.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142311424.0,1085440.0,765599744.0,122511360.0
1608107355.584,3483.0,4989.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142438400.0,1085440.0,765599744.0,122384384.0
1608107356.584,1806.0,661.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142430208.0,1085440.0,765607936.0,122384384.0
1608107357.584,226.0,320.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142430208.0,1085440.0,765607936.0,122384384.0
1608107358.584,34863.0,6222.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142426112.0,1085440.0,765612032.0,122384384.0
1608107359.584,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142426112.0,1085440.0,765612032.0,122384384.0
1608107360.584,76.0,90.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142426112.0,1085440.0,765612032.0,122384384.0
1608107361.584,302.0,476.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142426112.0,1085440.0,765612032.0,122384384.0
1608107362.584,60647.0,5452.0,7.0,20.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,142426112.0,1085440.0,765612032.0,122384384.0
1608107363.584,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142422016.0,1085440.0,765616128.0,122384384.0
1608107364.584,696.0,931.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142422016.0,1085440.0,765616128.0,122384384.0
1608107365.584,1826.0,3380.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142417920.0,1085440.0,765620224.0,122384384.0
1608107366.584,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142417920.0,1085440.0,765620224.0,122384384.0
1608107367.584,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142417920.0,1085440.0,765620224.0,122384384.0
1608107368.584,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142417920.0,1085440.0,765620224.0,122384384.0
1608107369.584,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142417920.0,1085440.0,765620224.0,122384384.0
1608107370.584,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142417920.0,1085440.0,765620224.0,122384384.0
1608107371.584,118.0,132.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142417920.0,1085440.0,765620224.0,122384384.0
1608107372.584,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142417920.0,1085440.0,765620224.0,122384384.0
