"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-27-80.ca-central-1.compute.internal",,,,"User:","ec2-user"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","16 Dec 2020 08:29:04 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608107344.823,0.0,0.0,7.0,3.0,10.0,0.0,0.0,2.007,0.786,97.090,0.098,0.0,0.019,140922880.0,1085440.0,742703104.0,146796544.0
1608107345.824,7353.0,5596.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141074432.0,1085440.0,742711296.0,146636800.0
1608107346.824,412.0,575.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141131776.0,1085440.0,742719488.0,146571264.0
1608107347.824,1172.0,2015.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141131776.0,1085440.0,742719488.0,146571264.0
1608107348.824,850.0,1361.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141123584.0,1085440.0,742727680.0,146571264.0
1608107349.824,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141123584.0,1085440.0,742727680.0,146571264.0
1608107350.823,76.0,90.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141123584.0,1085440.0,742727680.0,146571264.0
1608107351.823,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141123584.0,1085440.0,742727680.0,146571264.0
1608107352.823,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141123584.0,1085440.0,742727680.0,146571264.0
1608107353.823,17903.0,18290.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141377536.0,1085440.0,742727680.0,146317312.0
1608107354.824,3072.0,5562.0,7.0,17.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141369344.0,1085440.0,742735872.0,146317312.0
1608107355.824,2683.0,1902.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141369344.0,1085440.0,742735872.0,146317312.0
1608107356.824,77.0,66.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,141369344.0,1085440.0,742735872.0,146317312.0
