"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-44-26.eu-west-1.compute.internal",,,,"User:","ec2-user"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","16 Dec 2020 08:29:04 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608107344.296,0.0,0.0,5.0,3.0,0.0,0.0,0.0,2.323,1.011,96.210,0.437,0.0,0.018,161038336.0,1085440.0,785461248.0,83922944.0
1608107345.297,10748.0,12431.0,7.0,16.0,0.0,0.0,0.0,1.010,0.0,98.990,0.0,0.0,0.0,161902592.0,1085440.0,785489920.0,83030016.0
1608107346.297,241.0,231.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,161902592.0,1085440.0,785489920.0,83030016.0
1608107347.296,1464.0,2442.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162029568.0,1085440.0,785489920.0,82903040.0
1608107348.297,200.0,132.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162029568.0,1085440.0,785489920.0,82903040.0
1608107349.297,176.0,168.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162029568.0,1085440.0,785489920.0,82903040.0
1608107350.296,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162029568.0,1085440.0,785489920.0,82903040.0
1608107351.297,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162029568.0,1085440.0,785489920.0,82903040.0
1608107352.297,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162029568.0,1085440.0,785489920.0,82903040.0
1608107353.297,14409.0,49958.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162156544.0,1085440.0,785489920.0,82776064.0
1608107354.297,682.0,672.0,7.0,19.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162152448.0,1085440.0,785494016.0,82776064.0
1608107355.297,5623.0,5646.0,7.0,23.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,162144256.0,1085440.0,785502208.0,82776064.0
1608107356.297,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162271232.0,1085440.0,785502208.0,82649088.0
1608107357.296,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162271232.0,1085440.0,785502208.0,82649088.0
1608107358.297,17697.0,77758.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162263040.0,1085440.0,785510400.0,82649088.0
1608107359.297,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162263040.0,1085440.0,785510400.0,82649088.0
1608107360.297,76.0,90.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162263040.0,1085440.0,785510400.0,82649088.0
1608107361.297,76.0,90.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162263040.0,1085440.0,785510400.0,82649088.0
1608107362.297,52870.0,6791.0,7.0,23.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,162258944.0,1085440.0,785514496.0,82649088.0
1608107363.297,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162254848.0,1085440.0,785518592.0,82649088.0
1608107364.296,344.0,346.0,7.0,23.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162254848.0,1085440.0,785518592.0,82649088.0
1608107365.297,300.0,288.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162254848.0,1085440.0,785518592.0,82649088.0
1608107366.297,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162254848.0,1085440.0,785518592.0,82649088.0
1608107367.297,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162254848.0,1085440.0,785518592.0,82649088.0
1608107368.297,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162254848.0,1085440.0,785518592.0,82649088.0
1608107369.297,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162254848.0,1085440.0,785518592.0,82649088.0
1608107370.297,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,162254848.0,1085440.0,785518592.0,82649088.0
