"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-13-14.ap-south-1.compute.internal",,,,"User:","ec2-user"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","16 Dec 2020 09:00:40 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608109240.090,0.0,0.0,5.0,5.0,0.0,4.0,0.0,1.285,0.598,97.850,0.255,0.0,0.012,166453248.0,1085440.0,786751488.0,77217792.0
1608109241.091,54191.0,9018.0,7.0,14.0,0.0,4.0,0.0,1.980,0.0,98.020,0.0,0.0,0.0,167550976.0,1085440.0,786767872.0,76103680.0
1608109242.091,30090.0,8128.0,7.0,13.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167829504.0,1085440.0,786776064.0,75816960.0
1608109243.091,0.0,0.0,7.0,13.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167829504.0,1085440.0,786776064.0,75816960.0
1608109244.091,0.0,0.0,7.0,13.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167829504.0,1085440.0,786776064.0,75816960.0
1608109245.091,16988.0,1261.0,7.0,14.0,0.0,5.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,167829504.0,1085440.0,786776064.0,75816960.0
1608109246.091,29836.0,2086.0,7.0,13.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167952384.0,1085440.0,786780160.0,75689984.0
1608109247.091,0.0,0.0,7.0,13.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167952384.0,1085440.0,786780160.0,75689984.0
1608109248.091,1804.0,2473.0,7.0,18.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167952384.0,1085440.0,786780160.0,75689984.0
1608109249.091,2010.0,4202.0,7.0,18.0,0.0,6.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,167948288.0,1085440.0,786784256.0,75689984.0
1608109250.091,412.0,541.0,7.0,19.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167948288.0,1085440.0,786784256.0,75689984.0
1608109251.091,2551.0,3375.0,7.0,21.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,167944192.0,1085440.0,786788352.0,75689984.0
