"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-40-76.ap-southeast-2.compute.internal",,,,"User:","ec2-user"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","16 Dec 2020 09:00:37 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608109237.864,0.0,0.0,7.0,7.0,9.0,0.0,0.0,1.292,0.551,98.013,0.134,0.0,0.011,166313984.0,1085440.0,785403904.0,78704640.0
1608109238.865,9165.0,9618.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166481920.0,1085440.0,785428480.0,78512128.0
1608109239.865,1397.0,1430.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166514688.0,1085440.0,785428480.0,78479360.0
1608109240.865,1184.0,2524.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166510592.0,1085440.0,785432576.0,78479360.0
1608109241.865,39466.0,14303.0,7.0,19.0,0.0,0.0,0.0,0.990,0.990,98.020,0.0,0.0,0.0,166633472.0,1085440.0,785436672.0,78352384.0
1608109242.865,252.0,78.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166633472.0,1085440.0,785436672.0,78352384.0
1608109243.866,148.0,78.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166633472.0,1085440.0,785436672.0,78352384.0
1608109244.865,412.0,607.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166633472.0,1085440.0,785436672.0,78352384.0
1608109245.865,47023.0,3597.0,7.0,19.0,0.0,1.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,166756352.0,1085440.0,785440768.0,78225408.0
1608109246.865,0.0,114.0,7.0,19.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166756352.0,1085440.0,785440768.0,78225408.0
1608109247.865,1108.0,1696.0,7.0,22.0,3.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166756352.0,1085440.0,785440768.0,78225408.0
1608109248.866,18152.0,5104.0,7.0,25.0,0.0,1.0,0.0,0.0,0.0,99.0,0.0,0.0,1.0,166879232.0,1085440.0,785444864.0,78098432.0
1608109249.866,32128.0,528.0,7.0,24.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166875136.0,1085440.0,785448960.0,78098432.0
1608109250.865,0.0,0.0,7.0,24.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166875136.0,1085440.0,785448960.0,78098432.0
1608109251.865,0.0,0.0,7.0,24.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166875136.0,1085440.0,785448960.0,78098432.0
1608109252.865,0.0,0.0,7.0,24.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166875136.0,1085440.0,785448960.0,78098432.0
1608109253.866,0.0,0.0,7.0,24.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,166875136.0,1085440.0,785448960.0,78098432.0
