"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-131.us-east-2.compute.internal",,,,"User:","ec2-user"
"Cmdline:","dstat --integer --noupdate -T -n --tcp --cpu --mem --output /home/ec2-user/stats.csv 1",,,,"Date:","16 Dec 2020 09:21:41 UTC"

"epoch","net/total",,"tcp sockets",,,,,"total cpu usage",,,,,,"memory usage",,,
"epoch","recv","send","lis","act","syn","tim","clo","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
1608110501.237,0.0,0.0,7.0,9.0,9.0,0.0,0.0,0.956,0.435,98.454,0.141,0.0,0.014,172384256.0,1085440.0,784797696.0,73240576.0
1608110502.238,8110.0,8756.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172593152.0,1085440.0,784814080.0,73015296.0
1608110503.238,1410.0,1496.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172589056.0,1085440.0,784818176.0,73015296.0
1608110504.238,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172589056.0,1085440.0,784818176.0,73015296.0
1608110505.238,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172589056.0,1085440.0,784818176.0,73015296.0
1608110506.238,0.0,0.0,7.0,19.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,172589056.0,1085440.0,784818176.0,73015296.0
1608110507.238,23501.0,23920.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172711936.0,1085440.0,784822272.0,72888320.0
1608110508.238,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172711936.0,1085440.0,784822272.0,72888320.0
1608110509.238,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,172711936.0,1085440.0,784822272.0,72888320.0
1608110510.238,384.0,392.0,7.0,20.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172711936.0,1085440.0,784822272.0,72888320.0
1608110511.238,990.0,2179.0,7.0,21.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110512.238,2883.0,2815.0,7.0,23.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110513.238,77.0,132.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110514.238,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110515.237,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110516.238,118.0,132.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110517.238,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110518.238,76.0,90.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110519.238,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110520.238,0.0,0.0,7.0,23.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110521.238,0.0,74.0,7.0,23.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172707840.0,1085440.0,784826368.0,72888320.0
1608110522.238,1146.0,714.0,7.0,24.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110523.238,77.0,66.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110524.238,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110525.238,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110526.238,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110527.238,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110528.238,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.990,99.010,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110529.238,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110530.238,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110531.238,284.0,326.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172703744.0,1085440.0,784830464.0,72888320.0
1608110532.238,1242.0,2295.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110533.238,104.0,91.0,7.0,26.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110534.238,76.0,90.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110535.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110536.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110537.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110538.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110539.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110540.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110541.238,60.0,74.0,7.0,26.0,1.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,172699648.0,1085440.0,784834560.0,72888320.0
1608110542.238,682.0,1261.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172695552.0,1085440.0,784838656.0,72888320.0
1608110543.238,0.0,0.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172695552.0,1085440.0,784838656.0,72888320.0
1608110544.238,0.0,0.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172695552.0,1085440.0,784838656.0,72888320.0
1608110545.238,0.0,0.0,7.0,27.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,172695552.0,1085440.0,784838656.0,72888320.0
1608110546.238,0.0,0.0,7.0,27.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,172695552.0,1085440.0,784838656.0,72888320.0
1608110547.238,29010.0,15913.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172949504.0,1085440.0,784838656.0,72634368.0
1608110548.238,3736.0,29629.0,7.0,25.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,172941312.0,1085440.0,784846848.0,72634368.0
1608110549.238,0.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172941312.0,1085440.0,784846848.0,72634368.0
1608110550.238,76.0,90.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172941312.0,1085440.0,784846848.0,72634368.0
1608110551.238,284.0,400.0,7.0,26.0,1.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,172941312.0,1085440.0,784846848.0,72634368.0
1608110552.238,1210.0,1681.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172969984.0,1085440.0,784850944.0,72601600.0
1608110553.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172969984.0,1085440.0,784850944.0,72601600.0
1608110554.238,14907.0,81830.0,7.0,26.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,172965888.0,1085440.0,784855040.0,72601600.0
1608110555.238,1222.0,553.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,172965888.0,1085440.0,784855040.0,72601600.0
1608110556.238,16233.0,82342.0,7.0,26.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,173084672.0,1085440.0,784863232.0,72474624.0
1608110557.238,2450.0,521.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173080576.0,1085440.0,784867328.0,72474624.0
1608110558.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,173080576.0,1085440.0,784867328.0,72474624.0
1608110559.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173080576.0,1085440.0,784867328.0,72474624.0
1608110560.238,284.0,272.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173080576.0,1085440.0,784867328.0,72474624.0
1608110561.238,24423.0,60475.0,7.0,26.0,1.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,173080576.0,1085440.0,784867328.0,72474624.0
1608110562.238,1423.0,846.0,7.0,26.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,173076480.0,1085440.0,784871424.0,72474624.0
1608110563.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173076480.0,1085440.0,784871424.0,72474624.0
1608110564.238,0.0,114.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173076480.0,1085440.0,784871424.0,72474624.0
1608110565.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,173076480.0,1085440.0,784871424.0,72474624.0
1608110566.238,76.0,90.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173076480.0,1085440.0,784871424.0,72474624.0
1608110567.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
1608110568.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
1608110569.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
1608110570.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
1608110571.239,0.0,74.0,7.0,26.0,1.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
1608110572.238,258.0,294.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
1608110573.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
1608110574.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
1608110575.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
1608110576.238,0.0,0.0,7.0,26.0,0.0,0.0,0.0,0.990,0.0,99.010,0.0,0.0,0.0,173072384.0,1085440.0,784875520.0,72474624.0
